neighbourhood,unweighted_score,weighted_score,unweighted_score_quartile,weighted_score_quartile,the_geom,centroid,latitude,longitude
ABBOTTSFIELD,158,14.274912536754575,3,3,"MULTIPOLYGON (((-113.3876336194906 53.57613482614986, -113.3836277860366 53.57460806247732, -113.384054874502 53.57359969033422, -113.384370602104 53.57290764891141, -113.3846562219543 53.57228236881799, -113.3852398908054 53.57172595132667, -113.3871465826778 53.57070612258346, -113.3885222292671 53.57045359907499, -113.3895548108397 53.57038923365791, -113.3913674384115 53.57038384468932, -113.3937116609862 53.57037683457092, -113.3937062495951 53.57191512757635, -113.3936979057175 53.57276679221887, -113.3936940190968 53.57354261672531, -113.3936906689152 53.57432134543333, -113.3936873545631 53.57509164354834, -113.3940814783264 53.57509174427493, -113.3940753825366 53.57662865234433, -113.3940739603223 53.57716401522783, -113.3940287103063 53.57719140902553, -113.394028580384 53.57731452832997, -113.3940268598922 53.57763946885274, -113.3937549294678 53.57791003198801, -113.388857963743 53.57660141757646, -113.3876336194906 53.57613482614986)))",POINT (-113.3896612601444 53.57373015654812),53.57373015654812,-113.38966126014438
ALBANY,112,9.501949997893991,1,1,"MULTIPOLYGON (((-113.5602450793696 53.63160365457783, -113.5597964074639 53.63174372505938, -113.5535144105975 53.63370459790922, -113.5535075694499 53.63370673618777, -113.5524820787603 53.63413849541477, -113.5515380312159 53.63453594825926, -113.5500487250695 53.63508522378392, -113.5474257289661 53.6360525381421, -113.5427750114455 53.63604903256413, -113.5426356534846 53.63604892437659, -113.5414200017215 53.6360479770178, -113.5413454096639 53.63604791860889, -113.5411790940956 53.63604816462092, -113.5411759634343 53.6287117415365, -113.5535112874915 53.62871710748651, -113.5594287966192 53.62871923041679, -113.5633583755519 53.62873034131337, -113.5632645577945 53.62882097997765, -113.5631990260651 53.62888137744232, -113.5630210133342 53.62904543942182, -113.5622684498467 53.62973901654463, -113.5602450793696 53.63160365457783)))",POINT (-113.54977584119 53.63171969942624),53.63171969942624,-113.54977584119
ALBERTA AVENUE,137,11.989768127714092,3,3,"MULTIPOLYGON (((-113.492257337392 53.57661667063993, -113.4904174825127 53.57662685157623, -113.4888746406795 53.57662499584055, -113.4873326874286 53.57662569759574, -113.4857773327099 53.5766230330131, -113.4842343543407 53.57662147988059, -113.4826884118439 53.57662205425715, -113.4812241988477 53.57662273663365, -113.4796170879195 53.5766237815571, -113.4779698256157 53.57672151821286, -113.4779648114926 53.57513635868887, -113.4779581088515 53.573545977715, -113.4779603280446 53.57195514461613, -113.47795787832 53.5703902224568, -113.4782279056252 53.57039015324261, -113.4782165675726 53.56889626833957, -113.4782015645733 53.56736095517532, -113.4781837154452 53.56581926442561, -113.4781702911304 53.56429120005696, -113.4781567789302 53.56275033526862, -113.4781420474726 53.56103241825647, -113.479233300983 53.5610271313472, -113.4796367165898 53.56109093164405, -113.4811996629024 53.56081525852326, -113.4826414899581 53.56056092569711, -113.4841255328698 53.56043304579855, -113.4856314485804 53.56030474822915, -113.4863877093519 53.56024032256522, -113.4870043152257 53.56004609361281, -113.4886064951431 53.559497713379, -113.4895078460253 53.55919150912507, -113.4901187852579 53.55914074891273, -113.491848456523 53.5590236624389, -113.4917328512954 53.55946907132213, -113.4917518242515 53.56103482008844, -113.4917619190792 53.56270429547013, -113.491781505951 53.56424466149052, -113.4917978106205 53.5657764800793, -113.4917987912468 53.56731587664478, -113.4918240232513 53.56884944239676, -113.491815176425 53.56990545263557, -113.492028581032 53.57037740276871, -113.492280460469 53.5709060689809, -113.492265436554 53.57195296514253, -113.492268089055 53.57314377543184, -113.4922689592193 53.57354133361225, -113.4922569823318 53.57513007169986, -113.4922554105187 53.57532301436281, -113.492257337392 53.57661667063993)))",POINT (-113.4851866335479 53.56849479582773),53.56849479582773,-113.48518663354793
ALDERGROVE,124,10.583894526318147,2,2,"MULTIPOLYGON (((-113.6520890998509 53.51950230864683, -113.6520894204112 53.51970170428518, -113.6520897702257 53.51992624011504, -113.6520900072905 53.52007895685767, -113.6520901888634 53.5201957483347, -113.6520903910172 53.52032511936028, -113.6520905828761 53.52044820105706, -113.652090789655 53.52058841818314, -113.6520910392708 53.52074125895201, -113.6520913095568 53.52091531839923, -113.6520916192472 53.52111143856484, -113.6520920950432 53.52127789824795, -113.6491110934299 53.5213506039531, -113.6469984884731 53.5213951177975, -113.64409438321 53.52146726946705, -113.6397581385381 53.52155155074655, -113.6371323448391 53.52160251130316, -113.6335898974952 53.52152764522542, -113.6304686889701 53.52128898038755, -113.6305971795987 53.52012340103485, -113.6306375704129 53.51913779219711, -113.630582275752 53.51835911017785, -113.6304287768324 53.517061128015, -113.6300540698074 53.51489087329662, -113.629909987921 53.51217442859068, -113.6520727062568 53.5121953854836, -113.6520793074569 53.51265538837674, -113.6520792613875 53.51269764043381, -113.6520789746401 53.51295756694915, -113.6520792805056 53.51315784159485, -113.6520796849771 53.51342043624871, -113.6520800221748 53.51364486175068, -113.6520801314985 53.51371213128393, -113.6520804835108 53.51393677248209, -113.6520808274445 53.51416589676457, -113.6520811865112 53.51439501389349, -113.6520816134831 53.51466903246147, -113.65208192579 53.51487091196813, -113.6520821970855 53.51504834942732, -113.6520824409105 53.5152146001296, -113.6520826571165 53.51535127692223, -113.652082741564 53.51540520215393, -113.652082984047 53.51556959184182, -113.652083182077 53.51569210663818, -113.6520833662388 53.51581428980833, -113.6520836200641 53.51598115965369, -113.6520839386529 53.51618779272753, -113.6520842300431 53.51637197869086, -113.6520847182674 53.51668986788725, -113.6520848939217 53.51681124856255, -113.6520849388154 53.51684257837456, -113.6520851252773 53.51695417332682, -113.652085308775 53.51706576197816, -113.6520854772691 53.51717734159774, -113.6520856456892 53.51728893020101, -113.6520858292593 53.51740050986031, -113.6520859992599 53.51751208947802, -113.6520861827557 53.51762367811889, -113.6520863512551 53.51773525682945, -113.6520865196731 53.51784684542229, -113.6520867032414 53.51795842507111, -113.6520868716586 53.51807001365976, -113.6520870416567 53.51818159326492, -113.6520872958943 53.51833957679423, -113.6520873736377 53.51839431970496, -113.6520876104451 53.51853805049088, -113.652087830733 53.51868177313787, -113.6520880389361 53.51882549844203, -113.6520884227198 53.51906226883519, -113.6520888018849 53.51930475609493, -113.6520890998509 53.51950230864683)))",POINT (-113.6411587326582 53.51679476483867),53.51679476483867,-113.6411587326582
ALLARD,119,9.917598195683414,1,1,"MULTIPOLYGON (((-113.5169302403361 53.40651237060445, -113.516907453357 53.40642553096025, -113.5165903930611 53.40645523866237, -113.5163778894263 53.4065881029308, -113.5163795731557 53.40586748856769, -113.5163799526049 53.40570501314143, -113.516380781722 53.40534973589719, -113.5162184251792 53.40536181982456, -113.5149385004631 53.4053602690101, -113.5146044764566 53.40535986791403, -113.514522929478 53.40535976916781, -113.5128450066825 53.4053577382685, -113.512517994755 53.4053573392727, -113.5125179055091 53.40534778207204, -113.5125158866674 53.40513355960891, -113.5125111231033 53.40463233505356, -113.5125104823617 53.40456512724647, -113.5125100003557 53.40451468386729, -113.5125054079789 53.40403308854543, -113.5125046780873 53.40395657963612, -113.5125011473437 53.40358640957685, -113.5124970380215 53.40315386021847, -113.5124947144155 53.40290935198676, -113.5124935414317 53.40278597184864, -113.512493208716 53.40275101590816, -113.5124925717772 53.40268400489337, -113.5124689798362 53.40020464793191, -113.5124670024203 53.39999695843382, -113.5131639322741 53.39999466260566, -113.5138872524643 53.39999227604313, -113.5147585548631 53.39998939470703, -113.5147469172516 53.39864912457549, -113.5157637088241 53.39864690887383, -113.5158147053918 53.39864680923654, -113.515975156358 53.39864644698169, -113.5160742614035 53.39864622951004, -113.5161566948136 53.39864604954334, -113.516155420583 53.39851250554628, -113.5161562456167 53.39851148086564, -113.5161537798604 53.39834062304509, -113.5161530889694 53.39826831980648, -113.516147499349 53.39807528929877, -113.5161454813816 53.39787821418081, -113.5161438843886 53.39772143498162, -113.516140560613 53.39739784831921, -113.5161310500073 53.3964713184895, -113.516209880486 53.39645690499152, -113.5162887109117 53.39644249144137, -113.5162916295019 53.39599218290203, -113.5165401375307 53.39599275799618, -113.516978731365 53.39599377186261, -113.5280989519427 53.39593292697959, -113.5283325277275 53.39595591731632, -113.5283961938009 53.39596218416231, -113.5404246716974 53.39592491255426, -113.5407120532279 53.39592400717519, -113.5407144614575 53.39672221787955, -113.5408081610508 53.39927861200481, -113.5408059669189 53.40045502420857, -113.5408083966491 53.40047765723091, -113.5408083998714 53.40049244135379, -113.5408084395636 53.40069824634901, -113.5408084984007 53.40099430888345, -113.5408085265112 53.4011341514584, -113.540808546006 53.40123708584553, -113.5408076177308 53.40124802927392, -113.5408044174105 53.40128579318635, -113.5407967631487 53.40135499708848, -113.5407654167347 53.40154284373433, -113.5407522991458 53.40162144955677, -113.5407286391983 53.40170678324191, -113.5407155920546 53.40175384235189, -113.5406632067687 53.40190070102965, -113.5406205284854 53.40200025589147, -113.5405761878997 53.40209148760743, -113.5404976513982 53.40223221854292, -113.5404058087392 53.40237361890712, -113.5403041864486 53.40251005711067, -113.5401813901402 53.40265487330915, -113.5400601256145 53.40278180823715, -113.5399469174226 53.40288905924231, -113.539840157043 53.40298204242615, -113.5397442288903 53.40305982845762, -113.5395220586177 53.40322249482818, -113.5372054375851 53.40469212400121, -113.5363842229983 53.40425099505693, -113.5360997774241 53.40411810681681, -113.5355466650494 53.40385969723837, -113.5346992121092 53.40355999537123, -113.5340115726142 53.40338381913603, -113.533086738463 53.40322644185211, -113.5324583055552 53.40316654949012, -113.5319097022005 53.40314366733487, -113.5313074591873 53.40314135454431, -113.5304530664911 53.40314258016384, -113.529275088823 53.40314425980508, -113.5286037316057 53.40314521136809, -113.5275645242354 53.40314954978832, -113.5264358481737 53.40319303496204, -113.5256536593596 53.40326097816403, -113.5250176291336 53.40335053260932, -113.5241983274114 53.4035219251733, -113.5234005516885 53.40376454725451, -113.52275605368 53.40402596926108, -113.5220381434176 53.40440608847615, -113.5216011651381 53.40466084824845, -113.5205769985091 53.40525996181275, -113.520081680425 53.40554890526176, -113.5180723582075 53.40642706288054, -113.5179252980116 53.40651841080695, -113.5178686348789 53.40655360748485, -113.5176697172437 53.40667716526458, -113.5169302403361 53.40651237060445)))",POINT (-113.526505605345 53.40029526203158),53.400295262031584,-113.52650560534498
ALLENDALE,131,11.41360723884185,3,3,"MULTIPOLYGON (((-113.5025977279897 53.50637359462723, -113.5005350349442 53.50637299576662, -113.4976632094534 53.50636848783058, -113.4976622589143 53.5054373835492, -113.4976556667298 53.50436411108235, -113.4976543625981 53.50343218367608, -113.4976530969738 53.50252822813071, -113.4976564891325 53.50161669339857, -113.4976565282326 53.50074182559332, -113.4976565822604 53.49986836224662, -113.4976383396446 53.49797727257393, -113.49932490583 53.49798760784123, -113.5008022142935 53.49803618087701, -113.5022569862954 53.49811167013111, -113.5025562975112 53.49812791023327, -113.5028947545688 53.49813836360087, -113.5044131866803 53.49817448159479, -113.5093354187812 53.49818426635548, -113.5118968499359 53.49821982127532, -113.5119851733684 53.49916063092456, -113.5119801797824 53.50010627044555, -113.5119859014451 53.50105482191475, -113.5119868440566 53.50152591588272, -113.5119877591555 53.50198273713119, -113.5119891707034 53.50295159628822, -113.5119923657014 53.50390112545755, -113.5120045637955 53.50483634677581, -113.5120236675608 53.50562469020621, -113.5120241485684 53.50657394278186, -113.5093431085524 53.50657430235738, -113.5063107155789 53.5065747077477, -113.5044165905759 53.50657672750807, -113.5044161900677 53.50633852598092, -113.5027389019975 53.50634715544115, -113.5025977279897 53.50637359462723)))",POINT (-113.5048300502116 53.5023046845629),53.5023046845629,-113.50483005021164
AMBLESIDE,121,10.024778388262192,2,1,"MULTIPOLYGON (((-113.5698216517027 53.42490517314961, -113.5739140027728 53.42490355966748, -113.5742251035951 53.42490343164213, -113.5746704854629 53.42490324636889, -113.5837996940221 53.42489908286741, -113.5879286591632 53.42489697121116, -113.5899841459131 53.4248958664738, -113.5968370020786 53.42488435258924, -113.5974325419802 53.4248833338126, -113.5996532540872 53.42487950752722, -113.6012033871985 53.42487681227199, -113.6022997354958 53.42456588051082, -113.6026509201697 53.42446627949558, -113.6035236130918 53.42416575307229, -113.6045028216849 53.4236612998068, -113.6052548531602 53.42324251134591, -113.607050220437 53.42230207266859, -113.6072584797039 53.42219096270259, -113.6079646126456 53.42185840360071, -113.6090106890523 53.42155079747952, -113.6099350609401 53.42137745580141, -113.6109660781663 53.42123420035076, -113.6146409560591 53.42126128750348, -113.6146383078815 53.42485260909644, -113.6146658216714 53.42862260203515, -113.6147221165712 53.43337175359479, -113.6145458109187 53.43380907824728, -113.6143660596268 53.43380911634449, -113.6136811678321 53.43582233206369, -113.6118281155616 53.43752997832438, -113.6112622342503 53.43773958094091, -113.6095195284786 53.43838504925739, -113.6091653835037 53.43851620919462, -113.6066746041049 53.43943863867556, -113.6064461504376 53.43952323832358, -113.6062323185904 53.43959868124082, -113.6060133308711 53.43966865309075, -113.605789579795 53.43973302843595, -113.6055616693594 53.43979159807002, -113.605329817815 53.4398443671833, -113.6050944384956 53.43989124006904, -113.6048559536551 53.43993213363346, -113.6046147869664 53.43996697467532, -113.6043713710375 53.43999570080952, -113.6041261398775 53.4400182613409, -113.6038795319219 53.4400346154772, -113.6036319855005 53.44004473411123, -113.6033839448563 53.4400485998411, -113.6031358511311 53.44004620514293, -113.6028881498813 53.4400375532945, -113.6026412805089 53.44002266193468, -113.6023956868617 53.44000155590955, -113.6021777768664 53.43997748269286, -113.6019615427403 53.43994851722197, -113.6017472942025 53.43991470007731, -113.6015353363701 53.43987608081218, -113.6013259683031 53.43983271255612, -113.601119491975 53.43978465833515, -113.6008966894753 53.43972671030187, -113.6006780955045 53.43966330426512, -113.6004640868618 53.4395945484428, -113.6002550312159 53.43952056090929, -113.6000512841119 53.43944146778784, -113.5998492068839 53.4393556349209, -113.5996533841356 53.43926478145096, -113.5984130585526 53.43866301281441, -113.5971751610311 53.43751174990363, -113.5971125674433 53.43745353512279, -113.595659513101 53.43610207225688, -113.5952578624609 53.4358549295634, -113.590395526702 53.43286270901762, -113.5901945393489 53.43276252868839, -113.5891081256481 53.43222341027526, -113.5874262212275 53.43139025686422, -113.5866639234062 53.43064463613933, -113.5866372864069 53.4304428696512, -113.5866238740968 53.43034127437464, -113.5866123217661 53.43025377311599, -113.5866082023667 53.43022256973703, -113.5866048370283 53.43019708056318, -113.5866026841132 53.43018077403683, -113.5864820756007 53.42926525209947, -113.5863522716056 53.42910650984044, -113.5858390835118 53.42847944378725, -113.585738312994 53.42845648518971, -113.5854042040661 53.42838036262089, -113.5837464858597 53.42800265418587, -113.5835883121485 53.4279720172371, -113.5834272889292 53.4279472371998, -113.5832640230764 53.42792840694005, -113.5830991307072 53.42791559689395, -113.582933231164 53.42790885504682, -113.5827669530166 53.4279082087514, -113.5826009205755 53.42791365928922, -113.582435762885 53.42792518549643, -113.5822720986711 53.42794274460972, -113.5821105499003 53.42796627051649, -113.5819517222231 53.42799567368626, -113.5817962154707 53.42803084480173, -113.580401270682 53.42839571589032, -113.5802236291241 53.42843924969377, -113.5800424978514 53.42847731007906, -113.5798583473491 53.42850979624307, -113.5796716599848 53.42853662360213, -113.5794829224938 53.42855772286728, -113.5792926274914 53.42857303915099, -113.5791012719677 53.42858253196206, -113.5789093542595 53.42858617699227, -113.5787173740761 53.42858396342056, -113.5785075201543 53.42857482913786, -113.5782988519874 53.42855869666181, -113.5780254175595 53.42853283667523, -113.5777519834757 53.42850697516465, -113.5764513611203 53.42838372172371, -113.5742932932518 53.42817917950931, -113.5692326788092 53.42776960671003, -113.5675723610099 53.42773765548709, -113.5668317631543 53.42775921940455, -113.5663089842199 53.42777443837348, -113.5664343249353 53.42762654809173, -113.5665695118479 53.4274817846436, -113.5667143288469 53.42734038354805, -113.5668685418695 53.42720257127148, -113.568018083765 53.42719626527321, -113.5685623767771 53.42700576693176, -113.56883550876 53.42681287049381, -113.5691198893986 53.42639973537993, -113.5694020130123 53.42623308090395, -113.5699129451788 53.4260999307176, -113.5700763762935 53.42607203204715, -113.5701354394186 53.42586150119612, -113.5703765245538 53.42555985308937, -113.570511981261 53.42539036610217, -113.57033791938 53.42529233281064, -113.5701936116734 53.42521105679125, -113.5698217537781 53.42500162019283, -113.5698216517027 53.42490517314961)))",POINT (-113.5992072411433 53.42996091465385),53.429960914653854,-113.59920724114328
ARGYLL,91,7.32221719848487,0,0,"MULTIPOLYGON (((-113.466013786732 53.50289235463272, -113.4650781664417 53.50355439363362, -113.462732364641 53.50521895978313, -113.4625271059605 53.50528540398503, -113.4623308795244 53.50530876425018, -113.4620917304791 53.50544464798931, -113.4621030095031 53.50552169868015, -113.4609793504308 53.50631803874894, -113.4593280101023 53.5054903284608, -113.4593311202029 53.50465330857989, -113.4593344546017 53.50456586838924, -113.459147497452 53.50455588024834, -113.4589608066112 53.50452486648013, -113.4569228611607 53.5040588692394, -113.4566284323485 53.50396462686059, -113.4563832548731 53.50382924656815, -113.4552006180375 53.50298861394933, -113.454936656342 53.50315409364963, -113.4547623005577 53.50319968832048, -113.4542887794325 53.50322983892256, -113.4540704495992 53.5030466185426, -113.4538100334976 53.50282813276156, -113.4585059592435 53.50050293625184, -113.4595408070699 53.49999034142038, -113.4597912980602 53.49992362599252, -113.4601028371874 53.49990732188001, -113.4625272957735 53.49991391517479, -113.4666008310417 53.49988351149107, -113.4665968986779 53.50006628625943, -113.466595319997 53.50013970813659, -113.4665952834138 53.50025453040996, -113.4665952239704 53.50044093575447, -113.4665385881874 53.50053162223043, -113.4665395279391 53.50136572760032, -113.4666275836346 53.50139569103812, -113.4666865006164 53.50141573856823, -113.4668459736157 53.50141581910393, -113.4668852020784 53.50141583859786, -113.4668918594584 53.50280568137168, -113.4668891071218 53.50289387200495, -113.466013786732 53.50289235463272)))",POINT (-113.4612126509967 53.50249461993083),53.50249461993083,-113.46121265099674
ASPEN GARDENS,99,7.735508787725554,0,0,"MULTIPOLYGON (((-113.5416421891251 53.48098486889617, -113.5420445141045 53.48092047757302, -113.5422269648394 53.48089127174409, -113.5458604837407 53.48233883216347, -113.545860753759 53.48240791999789, -113.5420293273589 53.48233068496137, -113.5419697195461 53.48232946806939, -113.5416479587272 53.48227521843293, -113.5411841605796 53.48226164012016, -113.5411735970594 53.48137963946937, -113.5410498262745 53.48073853169644, -113.5406908539769 53.48012768379699, -113.5399568560986 53.47952657493058, -113.5390837404306 53.4787907294214, -113.5388445354515 53.47837603935728, -113.5387185332958 53.47789468750559, -113.538747679102 53.47660185383983, -113.5386373039765 53.4763406737752, -113.5386578545661 53.47422419479175, -113.5386729846966 53.47266577236068, -113.5409652148569 53.47266270782839, -113.5433073946292 53.47302831103841, -113.5433119997401 53.47407271719162, -113.5504409053851 53.47407676805958, -113.5506680908742 53.47458029558247, -113.5508382189568 53.47495735358375, -113.5509308901187 53.47513480156145, -113.5510740020901 53.47510869098269, -113.5518184982844 53.47496958234761, -113.5522021813169 53.47503444896498, -113.5520489338509 53.47519595679368, -113.5521036200723 53.47537812473401, -113.5521696582672 53.47559816662807, -113.552235697139 53.47581820847892, -113.5523017348978 53.47603827723812, -113.552327346828 53.4761236350081, -113.5524512075396 53.47624273598088, -113.5526535805003 53.47643733711963, -113.5528834398599 53.47665837088453, -113.5526699180435 53.47673706190649, -113.5519206797669 53.47680360348499, -113.5517518376214 53.47681446443331, -113.5517522779248 53.47681685009441, -113.5517965207735 53.4770561421656, -113.5517471414488 53.47741313784034, -113.5519005830992 53.4774342347911, -113.5525585785551 53.47750785913518, -113.5528006489717 53.47766098502984, -113.5523892563546 53.47777334090408, -113.5522281681785 53.47799480347237, -113.5520593002189 53.47822692920484, -113.5519123948 53.47842886380923, -113.5517990082774 53.4785846986062, -113.5517557293403 53.47862755269113, -113.5516468249364 53.47873534925343, -113.5515543314167 53.47882690114157, -113.551352933032 53.47902625643628, -113.5512079791266 53.47916972412041, -113.5511393840294 53.47921759599407, -113.5508858250947 53.47939451401887, -113.5506322624479 53.47957144047616, -113.5504517880127 53.47969736672885, -113.5501892448261 53.47966495095301, -113.5498854165749 53.47949828693919, -113.5497439054512 53.4794199586451, -113.5488135443461 53.47996754060539, -113.5475315628147 53.48053077373298, -113.5462844729851 53.48107209439224, -113.545995558606 53.48114212570169, -113.5456693885667 53.48116620273194, -113.5453661909908 53.48114566138378, -113.5451117285507 53.48109134634824, -113.5425154006184 53.48005170520377, -113.5424238295191 53.48013117267758, -113.5422588193303 53.48027902602366, -113.5420514259464 53.48027861972464, -113.5415932929071 53.48027772067165, -113.5414464382687 53.48027742868923, -113.5415997090451 53.48083517837576, -113.5416216391792 53.48091503827536, -113.5416421891251 53.48098486889617)))",POINT (-113.5448500773823 53.47713448099417),53.477134480994174,-113.54485007738226
ATHLONE,121,10.439988748338246,2,2,"MULTIPOLYGON (((-113.541167284983 53.59219071369882, -113.5411809316194 53.59003780920634, -113.5411747878428 53.58915256517429, -113.5411943753752 53.58757981476371, -113.5411754574206 53.58601600915139, -113.5411802946179 53.58496715755043, -113.5411746978123 53.58392154202541, -113.5411737747276 53.58374909573694, -113.5413349783757 53.58374970841852, -113.5421881837716 53.58374973216642, -113.5504224391871 53.58374656645913, -113.5511460921008 53.58374626141809, -113.5514498702473 53.58374613182393, -113.5530145533439 53.58374545286292, -113.5534982903603 53.58374523900293, -113.5534980300794 53.58384458825422, -113.5534985564082 53.58404296267221, -113.5534986429416 53.5840751586769, -113.5536836995008 53.584063497064, -113.5538694333313 53.58405663078432, -113.5542018620165 53.58404802126, -113.554715216725 53.58403549067606, -113.5548480267924 53.58403224851882, -113.5550171807874 53.58402811968541, -113.5552768540093 53.58402177958765, -113.5554952182303 53.58401644824649, -113.5557217133763 53.58401091755766, -113.5559568937785 53.58400517515468, -113.5559921848836 53.58400431317748, -113.5563551360733 53.5839954488017, -113.5565394807685 53.58396974052145, -113.5568089584948 53.584047415013, -113.5568905782812 53.58407094054196, -113.557073922691 53.58425761999562, -113.5573161575096 53.58450425909041, -113.5574371019056 53.5846274003363, -113.5577119231087 53.58490721206307, -113.55775568535 53.5849517678879, -113.5579352927175 53.58513463471677, -113.5581639380631 53.58536742484493, -113.5582752611272 53.58548076558309, -113.5585224381582 53.58573241837796, -113.5588363056316 53.58605196528364, -113.5588574594386 53.58607350076326, -113.5588717079268 53.5860880071524, -113.5591341538582 53.58635519768264, -113.5593790621507 53.58660452911548, -113.5595509725025 53.58677954105829, -113.5607847985692 53.58803558786866, -113.5608910469138 53.58814374685769, -113.5610523707861 53.58830796787174, -113.5611912948048 53.58844938472293, -113.5612842590338 53.58854401845238, -113.5613772236867 53.5886386512104, -113.5614701902645 53.58873328390103, -113.5615631557466 53.58882791651323, -113.561656121634 53.58892254995109, -113.5618096812744 53.5890788608195, -113.5619759906317 53.58924814799484, -113.5619755107354 53.58926914273236, -113.5619698509427 53.58951749365957, -113.5619666609078 53.58965757871426, -113.5619620878297 53.58985881505248, -113.5619591473738 53.58998819698935, -113.5620081535561 53.59003805951193, -113.5621072361622 53.59013889637506, -113.5622063192485 53.59023973225681, -113.5623054028056 53.59034056805577, -113.5624044868337 53.59044140377193, -113.5625035728428 53.59054223941077, -113.5626308585493 53.5906717757174, -113.5627855852469 53.59082923434242, -113.5629418106186 53.59098822853655, -113.5629107971542 53.59104880971349, -113.5627523840058 53.59135791251109, -113.5627089102812 53.59144269838629, -113.5625443345857 53.59176337828746, -113.5624305264714 53.59198510472469, -113.5624234636808 53.59199886778082, -113.5623228694888 53.59219479894456, -113.5625432266767 53.59219469895848, -113.5623592552575 53.59230454129035, -113.5597885839875 53.59230553362951, -113.5597886030762 53.59228625891533, -113.5597546699764 53.59219592359052, -113.5594526787169 53.59219603871649, -113.5594186444372 53.59228640155946, -113.5594186240437 53.59230564032541, -113.5567182559707 53.59230661656855, -113.5567400540569 53.5922520647545, -113.5567582380573 53.59219704665876, -113.5564970440469 53.59219716256303, -113.5564765663064 53.59225223951217, -113.5564520166411 53.59230672356959, -113.5560405974953 53.5923068458537, -113.5558123960829 53.59222947042276, -113.5534942139233 53.59220856340579, -113.5496433199863 53.59219874532282, -113.5488680470774 53.5921967531998, -113.5442645207635 53.59219495682687, -113.541167284983 53.59219071369882)))",POINT (-113.5508862599848 53.58825831899307),53.58825831899307,-113.55088625998484
